A	B	support	confidence	lift
Los Angeles	Cancun	0.57142857	0.57142857	1.00000000
Cancun	Madrid	0.14285714	0.25000000	1.75000000
Madrid	Cancun	0.14285714	1.00000000	1.75000000
Cancun	Miami	0.14285714	0.25000000	0.58333333
Miami	Cancun	0.14285714	0.33333333	0.58333333
Cancun	Montreal	0.14285714	0.25000000	0.87500000
Montreal	Cancun	0.14285714	0.50000000	0.87500000
Cancun	New York	0.57142857	1.00000000	1.40000000
New York	Cancun	0.57142857	0.80000000	1.40000000
Cancun	Orlando	0.57142857	1.00000000	1.16666667
Orlando	Cancun	0.57142857	0.66666667	1.16666667
Cancun	Paris	0.57142857	1.00000000	1.40000000
Paris	Cancun	0.57142857	0.80000000	1.40000000
Cancun	Rome	0.28571429	0.50000000	1.16666667
Rome	Cancun	0.28571429	0.66666667	1.16666667
Cancun	San Francisco	0.57142857	1.00000000	1.40000000
San Francisco	Cancun	0.57142857	0.80000000	1.40000000
Cancun	Seoul	0.14285714	0.25000000	1.75000000
Seoul	Cancun	0.14285714	1.00000000	1.75000000
Cancun	Shanghai	0.14285714	0.25000000	1.75000000
Shanghai	Cancun	0.14285714	1.00000000	1.75000000
Cancun	Sydney	0.28571429	0.50000000	1.16666667
Sydney	Cancun	0.28571429	0.66666667	1.16666667
Cancun	Tokyo	0.28571429	0.50000000	1.75000000
Tokyo	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Toronto	0.28571429	0.50000000	1.75000000
Toronto	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Vancouver	0.28571429	0.50000000	1.75000000
Vancouver	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Venice	0.28571429	0.50000000	1.75000000
Venice	Cancun	0.28571429	1.00000000	1.75000000
Cancun	Washington D.C.	0.42857143	0.75000000	1.31250000
Washington D.C.	Cancun	0.42857143	0.75000000	1.31250000
Chicago	Dubai	0.14285714	0.25000000	1.75000000
Dubai	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Hong Kong	0.28571429	0.50000000	1.75000000
Hong Kong	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Honolulu	0.28571429	0.50000000	1.16666667
Honolulu	Chicago	0.28571429	0.66666667	1.16666667
Chicago	Las Vegas	0.57142857	1.00000000	1.16666667
Las Vegas	Chicago	0.57142857	0.66666667	1.16666667
Chicago	London	0.42857143	0.75000000	1.75000000
London	Chicago	0.42857143	1.00000000	1.75000000
Chicago	Los Angeles	0.57142857	1.00000000	1.00000000
Los Angeles	Chicago	0.57142857	0.57142857	1.00000000
Chicago	Madrid	0.14285714	0.25000000	1.75000000
Madrid	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Miami	0.14285714	0.25000000	0.58333333
Miami	Chicago	0.14285714	0.33333333	0.58333333
Chicago	Montreal	0.14285714	0.25000000	0.87500000
Montreal	Chicago	0.14285714	0.50000000	0.87500000
Chicago	New Delhi	0.14285714	0.25000000	1.75000000
New Delhi	Chicago	0.14285714	1.00000000	1.75000000
Chicago	New York	0.57142857	1.00000000	1.40000000
New York	Chicago	0.57142857	0.80000000	1.40000000
Chicago	Orlando	0.42857143	0.75000000	0.87500000
Orlando	Chicago	0.42857143	0.50000000	0.87500000
Chicago	Paris	0.42857143	0.75000000	1.05000000
Paris	Chicago	0.42857143	0.60000000	1.05000000
Chicago	Rome	0.28571429	0.50000000	1.16666667
Rome	Chicago	0.28571429	0.66666667	1.16666667
Chicago	San Francisco	0.57142857	1.00000000	1.40000000
San Francisco	Chicago	0.57142857	0.80000000	1.40000000
Chicago	Seoul	0.14285714	0.25000000	1.75000000
Seoul	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Shanghai	0.14285714	0.25000000	1.75000000
Shanghai	Chicago	0.14285714	1.00000000	1.75000000
Chicago	Sydney	0.28571429	0.50000000	1.16666667
Sydney	Chicago	0.28571429	0.66666667	1.16666667
Chicago	Tokyo	0.28571429	0.50000000	1.75000000
Tokyo	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Toronto	0.14285714	0.25000000	0.87500000
Toronto	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Vancouver	0.14285714	0.25000000	0.87500000
Vancouver	Chicago	0.14285714	0.50000000	0.87500000
Chicago	Venice	0.28571429	0.50000000	1.75000000
Venice	Chicago	0.28571429	1.00000000	1.75000000
Chicago	Washington D.C.	0.42857143	0.75000000	1.31250000
Washington D.C.	Chicago	0.42857143	0.75000000	1.31250000
Dubai	Las Vegas	0.14285714	1.00000000	1.16666667
Las Vegas	Dubai	0.14285714	0.16666667	1.16666667
Dubai	London	0.14285714	1.00000000	2.33333333
London	Dubai	0.14285714	0.33333333	2.33333333
Dubai	Los Angeles	0.14285714	1.00000000	1.00000000
Los Angeles	Dubai	0.14285714	0.14285714	1.00000000
Dubai	New Delhi	0.14285714	1.00000000	7.00000000
New Delhi	Dubai	0.14285714	1.00000000	7.00000000
Dubai	New York	0.14285714	1.00000000	1.40000000
New York	Dubai	0.14285714	0.20000000	1.40000000
Dubai	San Francisco	0.14285714	1.00000000	1.40000000
San Francisco	Dubai	0.14285714	0.20000000	1.40000000
Hong Kong	Honolulu	0.14285714	0.50000000	1.16666667
Honolulu	Hong Kong	0.14285714	0.33333333	1.16666667
Hong Kong	Las Vegas	0.28571429	1.00000000	1.16666667
Las Vegas	Hong Kong	0.28571429	0.33333333	1.16666667
Hong Kong	London	0.14285714	0.50000000	1.16666667
London	Hong Kong	0.14285714	0.33333333	1.16666667
Hong Kong	Los Angeles	0.28571429	1.00000000	1.00000000
Los Angeles	Hong Kong	0.28571429	0.28571429	1.00000000
Hong Kong	Madrid	0.14285714	0.50000000	3.50000000
Madrid	Hong Kong	0.14285714	1.00000000	3.50000000
Hong Kong	Miami	0.14285714	0.50000000	1.16666667
Miami	Hong Kong	0.14285714	0.33333333	1.16666667
Hong Kong	Montreal	0.14285714	0.50000000	1.75000000
Montreal	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	New York	0.28571429	1.00000000	1.40000000
New York	Hong Kong	0.28571429	0.40000000	1.40000000
Hong Kong	Orlando	0.28571429	1.00000000	1.16666667
Orlando	Hong Kong	0.28571429	0.33333333	1.16666667
Hong Kong	Paris	0.28571429	1.00000000	1.40000000
Paris	Hong Kong	0.28571429	0.40000000	1.40000000
Hong Kong	Rome	0.28571429	1.00000000	2.33333333
Rome	Hong Kong	0.28571429	0.66666667	2.33333333
Hong Kong	San Francisco	0.28571429	1.00000000	1.40000000
San Francisco	Hong Kong	0.28571429	0.40000000	1.40000000
Hong Kong	Seoul	0.14285714	0.50000000	3.50000000
Seoul	Hong Kong	0.14285714	1.00000000	3.50000000
Hong Kong	Sydney	0.28571429	1.00000000	2.33333333
Sydney	Hong Kong	0.28571429	0.66666667	2.33333333
Hong Kong	Tokyo	0.28571429	1.00000000	3.50000000
Tokyo	Hong Kong	0.28571429	1.00000000	3.50000000
Hong Kong	Toronto	0.14285714	0.50000000	1.75000000
Toronto	Hong Kong	0.14285714	0.50000000	1.75000000
Hong Kong	Venice	0.28571429	1.00000000	3.50000000
Venice	Hong Kong	0.28571429	1.00000000	3.50000000
Hong Kong	Washington D.C.	0.28571429	1.00000000	1.75000000
Washington D.C.	Hong Kong	0.28571429	0.50000000	1.75000000
Honolulu	Las Vegas	0.42857143	1.00000000	1.16666667
Las Vegas	Honolulu	0.42857143	0.50000000	1.16666667
Honolulu	London	0.14285714	0.33333333	0.77777778
London	Honolulu	0.14285714	0.33333333	0.77777778
Honolulu	Los Angeles	0.42857143	1.00000000	1.00000000
Los Angeles	Honolulu	0.42857143	0.42857143	1.00000000
